song_number,title,default_key,sections_count,source_file,parser_notes,lyrics_preview
010,"În casa Ta, Doamne, aud Cuvântul Sfânt",G,6,"010 In Casa Ta, Doamne, aud Cuvantul Sfant.pptx",Unele sectiuni par repetate; verifica daca refrenul trebuie pastrat o singura data sau in structura completa.,"În casa Ta, Doamne, aud Cuvântul Sfânt / Şi nu-i loc mai ales niciunde pe pământ. / Cuvântul Tău e plin de-nvăţături şi har / Căci El e DA, AMIN! şi nu-i spus în zadar. /  / O zi cu Tine, dă bucurii depline / Şi răsplătiri divine, / Când simţi al Duhului Sfânt foc. / O zi cu Tine, Doamne, eu ştiu prea bine, / Mai mult e pentru mine decât o mie în alt loc. /  / În casa Ta, Doamne, aud cântări şi vers / Cum nu mai pot s-aud niciunde-n univers, / Şi sufletu-mi nu vrea din alt izvor să bea; / Decât din cel divin, izvor din cas"
011,"Ne despărţim, la drum pornim",E,3,"011 Ne despartim, la drum pornim.pptx",,"Ne despărţim, la drum pornim / |: Frumoase clipe s-au încheiat / Căci timpul trece neîncetat. / Fiţi bucuroşi, fiţi sănătoşi!:| /  / Pace şi har e-al nostru dar / |: Suntem în mâna Domnului / Ne poartă El după Voia Lui. / Fiţi bucuroşi, fiţi sănătoşi!:| /  / Fiţi bucuroşi! Fiţi sănătoşi! / |: Chiar dacă ultima oară-ar fi / Când pe pământ ne vom întâlni, / În cer dorim să ne-ntâlnim!:|"
012,"Eram jos în păcat, dar Isus m-a salvat",A,6,012 Eram jos in pacat.pptx,Unele sectiuni par repetate; verifica daca refrenul trebuie pastrat o singura data sau in structura completa.,"Eram jos în păcat, dar Isus m-a salvat, / Lumina Lui din cer în mine-a strălucit, / Scăldat în harul Său, eu am un nume nou, / Când stau de vorbă cu Isus sunt fericit. /  / Vino şi stai de vorbă azi cu Isus, / Vino, spune-l Lui ce griji te-apasă, / El să-ţi ia al tău suspin / Şi să-ţi dea pacea Sa din plin. / Când simţi că vrei să stai în rugăciune, / Când te arde-un dor şi nu-l poţi spune, / Numai pe genunchi lângă Isus eşti fericit. /  / Cărarea când e grea şi roze nu-s pe ea, / Şi norii de-ndoială soarele-au umbrit, / Cân"
013,"Viaţă tinerească, plină de elan",G,6,"013 Viaţă tinerească, plină de elan .pptx",Unele sectiuni par repetate; verifica daca refrenul trebuie pastrat o singura data sau in structura completa.,"Viaţă tinerească, plină de elan, / Frumuseţe, daruri, toate câte am, / Le închin de-a-ntregul pentru Dumnezeu. / De viaţa mea dispune Domnul meu. /  / Învăţător (este Isus), / Conducător (este Isus), / Eu nu cunosc (nici un altul) / Decât Isus Cristos (da, Isus). /  / Nu mă întineze duhul celui rău, / Să nu mă atragă jos din braţul Său. / Inima şi gândul să le umple dar / Pe deplin Isus Slăvitul cu-al Său har. /  / Învăţător (este Isus), / Conducător (este Isus), / Eu nu cunosc (nici un altul) / Decât Isus Cristos (da, Isus). /  / Cât"
014,Ne-a arata raul vietii cel lin,A,6,014 Ne-a arata raul vietii cel lin.pptx,Unele sectiuni par repetate; verifica daca refrenul trebuie pastrat o singura data sau in structura completa.,"1. Ne-a arătat râul vieţii cel lin - A 014 / Ne-a arătat râul vieţii cel lin, / Ca un cristal limpede şi curat. / El izvora chiar din Tronul divin, / Pe care Mielul era-ncoronat. /  / R. Ne-a arătat râul vieţii cel lin 014 / /: Blesteme nu vor mai fi acolo, / Căci faţa-l sfântă va lumina. / De pace fi-va împărăţită / Şi dragostea Sa ne va lega.:/ /  / 2. Ne-a arătat râul vieţii cel lin 014 / Noapte n-a fi, nici lumina de-aici, / Nici soarele nu va mai lumina, / Căci Dumnezeu însuşi va-mpărăţi / Şi-n strălucirea cea sfântă vom "
015,Nu este munte prea 'nalt,A,4,015 Nu este munte prea nalt.pptx,Unele sectiuni par repetate; verifica daca refrenul trebuie pastrat o singura data sau in structura completa.,"Nu este munte prea 'nalt să nu îl mişte, / Nu e problemă prea grea să n-o rezolve El. / Nu e furtună prea rea să n-o liniştească, / Nu e durere prea grea să n-o aline El. /  / /: El purtat-a pe umerii Săi povara lumii / Şi poate lua chiar acum povara ta:/ /  / Nu este munte prea 'nalt să nu îl mişte, / Nu e problemă prea grea să n-o rezolve El. / Nu e furtună prea rea să n-o liniştească, / Nu e durere prea grea să n-o aline El. /  / /: El purtat-a pe umerii Săi povara lumii / Şi poate lua chiar acum povara ta. / Îndrăzneşte,"
016,"O, de-ai vrea sa vii la El",G,6,"016 O, de-ai vrea sa vii la El.pptx",Unele sectiuni par repetate; verifica daca refrenul trebuie pastrat o singura data sau in structura completa.,"1. O, de-ai vrea să vii Ia El - G 016 / O, de-ai vrea să vii Ia El, / La Isus, Divinul Miel, / Viaţa ta se va schimba / După voia Sa. /  / R. O, de-ai vrea să vii Ia El 016 / Te roagă Isus ca să vii, căci vrea fericit ca să fii. / Renunţă la ce-i păcătos şi să vii la Cristos. / Conştiinţa îţi cere să vii căci vrea fericit ca să fii, / De-ajuns cât ai tot neglijat / Şi ai stat atât de mult străin, azi auzi cântec divin, / Chiar Isus s-ar bucura de schimbarea ta. /  / 2. O, de-ai vrea să vii Ia El 016 / Azi auzi mesaj ceresc / D"
017,Pe Isus L-am primit când m-a chemat,G,4,017 Pe Isus L-am primit cand m-a chemat.pptx,Unele sectiuni par repetate; verifica daca refrenul trebuie pastrat o singura data sau in structura completa.,"Pe Isus L-am primit când m-a chemat, / Păcatul mi-a luat, păcatul mi-a luat, / Şi pacea Lui îndată El mi-a dat / Păcatul mi-a luat. /  / /: Păcatul mi-a luat, păcatul mi-a luat, / De-aceea-l cânt neîncetat: ALELUIA! / Pe Isus L-am primit când m-a chemat, / Păcatul mi-a luat.:/ /  / De-ai să-L primeşti azi pe Isus Hristos / Păcatu-ţi va lua, păcatu-ţi va lua, / Şi fericit vei merge bucuros, / Păcatu-ţi va lua. /  / /: Păcatul mi-a luat, păcatul mi-a luat, / De-aceea-l cânt neîncetat: ALELUIA! / Pe Isus L-am primit când m-a chemat"
018,Pentru tine-un păcătos – a,,4,"018 Pentru tine, un pacatos.pptx",,"Pentru tine-un păcătos, / Pentru mine-un ticălos, / Pentru noi, iubite suflet, / A murit Isus Hristos. / A murit pe lemnul crucii, / Ca noi doi să fim salvaţi / De-ale noastre mari păcate. /  / Este greu, da, este greu / Să trăieşti făr’ Dumnezeu. / Dar, te rog, nu te uita / La viaţa ta cea grea. / Uită-te doar la Isus / Ce la cruce El s-a dus / Ca să moară pentru tine. /  / Deci, acum când tu doreşti / Pe Isus ca să-L primeşti / Tu în dragoste să stai, / Ca în lume să nu te pierzi. / Şi-ntr-o veşnică iubire, / Cu Isus ca să rămâi / Doar "
019,"Pleacă-ţi genunchii, Isus e aici",C,4,"019 Pleaca-ti genunchii, Isus e aici.pptx",,"Pleacă-ţi genunchii, Isus e aici, / Ridică mâini curate spre cer, / Tronul de mărire e-n faţa ta, / Slava se coboară din cer. / Îndrăzneşte de intră în Locul Sfânt, / Spălat în sângele Mielului, / Vino cu cântări de mărire, / Osana Mielului Preasfânt. /  / Rege-al regilor, / Domn al Domnilor, / Isus, Isus. /  / Vino cu povara din viaţa ta, / Durerea ce te-apasă mereu, / Mâna lui Isus poate vindeca / Durerea şi păcatul cel greu. / Slava ce coboară din cerul sfânt, / Dragostea şi roadele ei, / Înţelepciunea şi credinţa de neclintit, / T"
020,Domn peste pământ,C,5,020 Domn peste pamant.pptx,,"Domn peste pământ, / Peste Univers şi peste noi, / Eşti Dumnezeu şi Creator / Al nostru Domn. /  / Suntem ai Tăi, / Copii pentru vecii, / Azi Te rugăm prin Duhul Tău / Luminează peste noi. /  / Prin lumina Ta / Vrem mereu să stăm pe calea Ta, / Duh din Duhul Tău / Revarsă azi peste noi. /  / Privind în noi / Găsim iubirea Ta / Ne-ai mântuit, ne-ai fericit / Să fii veşnic preamărit. /  / Suntem ai Tăi, / Copii pentru vecii, / Azi Te rugăm prin Duhul Tău / /: Luminează peste noi.:/"
